thing,month,className,content,group,notes
1700,,CT,Connecticut: 450 enslaved people,CT,"According to data compiled by Peter Hinks and made available by the Gilder Lehrman Center for the Study of Slavery, Resistance, and Abolition at Yale University, there were approximately 450 enslaved peple in Connecticut in 1700. That estimate draws on data from historical statistics published by the US Bureau of the Census in 1961. According to Thomas Purvis’s Colonial America to 1763, 25,970 people lived in Connecticut at the time, meaning enslaved people made up less than 2% of the overall population of the colony. Peter Hinks, “Slave Population of Colonial Connecticut, 1690-1774,” Gilder Lehrman Center for the Study of Slavery, Resistance, and Abolition at Yale University, accessed November 16, 2022, https://glc.yale.edu/sites/default/files/files/Citizens%20All%20Doc2.pdf. Thomas Purvis, Colonial America to 1763 (New York: Facts on File, 1999), 128."
1701,,SC,"South Carolina passes curfew law for black people, and merges its militas with slave patrols",SC,"According to an article in The William and Mary Quarterly, “the most radical” intervention of the 1701 South Carolinian “Act for the Better Ordering of Slaves” was the merging and creation of slave patrols with militias (or “constables”), enacted in order to rid the community of runaway slaves. This law gave constables the right to “impress” citizens of the town, essentially requiring townspeople to work alongside the merged militia and patrol to capture or aid in the capturing of runaway slaves. Fining citizens who refused to be impressed, and constables who neglected to perform this duty perpetuated a violent system requiring the searching of homes, as well as the seizing and public whipping of slaves, who were then labeled as runaways, sold off to town marshals, and returned to their masters. Roper, L.H. ""The 1701 'Act for the better ordering of Slaves': Reconsidering the History of Slavery in Proprietary South Carolina."" The William and Mary Quarterly Third Series 64, no. 2 (April 2007): 403. "
1708,,CT,Connecticut passes law forbidding enslaved people from selling goods to whites,CT,"In the face of an increasingly heterogeneous economy that created an environment of self-sufficiency for people of all races and socioeconomic backgrounds, the colony of Connecticut feared that enslaved people would be inspired to use their businesses as sources of income and security to support themselves upon their escape from the ever-tightening grasp of enslavement. Ratified in 1708, the Act For The Punishment of Those Who Receive Payment from Negroes states that any free person who received goods, services, or trade with an enslaved black or Indigenous person, without the permission of their master, was to forfeit the goods, and, if they refused, to be punished by no more than 20 hits of a whip, while the offending vendor would be punished with no more than 30 hits. Facing the rising popularity of emancipation, this law was enacted to avoid the new social dynamic of white people paying black people to maintain the narrative of white superiority and capitalist greed. Act for the Punishment of Those Who Receive Payment from Negroes, Conn. Pub. Acts 52 (1708). Accessed December 1, 2022. https://babel.hathitrust.org/cgi/pt?id=njp.32101018288462&view=1up&seq=64. Daniels, Bruce C. ""Economic Development in Colonial and Revolutionary Connecticut: An Overview."" The William and Mary Quarterly 37, no. 3 (1980): 429-50. https://doi.org/10.2307/1923811. Steiner, Bernard Christian. History of Slavery in Connecticut. Baltimore: John Hopkins Press, 1893. Accessed December 1, 2022. https://archive.org/details/histslaveryconn00steirich/mode/2up?ref=ol&view=theater. "
1708,,SC,"South Carolina has 4,100 enslaved Blacks, 1,400 enslaved Indians, and 3960 free white individuals",SC,"According to Charleston! Charleston!: The History of a Southern City written by Walter J. Fraser - a past professor in the Department of History at Georgia Southern University - South Carolina, had 4,100 enslaved Blacks, 1,400 enslaved Indians, and 3960 free white individuals in 1708. Furthermore, the website “Voices: Stories of Change” states that by 1708 the number of white people and black people in South Carolina was about 4,000 each, with black people making up the majority. Although Voice doesn't discuss the Native American population, its conclusion reinforces Fraser's statistics regarding the ratio of white and black inhabitants. Fraser, Walter J. 1989. Charleston! Charleston! (University of South Carolina Press, April 15 1992) Voices: Stories of Change, Charleston, South Carolina, https://www.africanamericancharleston.com/timeline/colonial/."
1740,,SC,"South Carolina passes ""Negro Act,"" stopping enslaved people from learning to read, assembling freely, and growing food.",SC,"According to “Attended with Great Inconveniences”: Slave Literacy and the 1740 South Carolina Negro Act,” an article written by Birgit Brander Rasmussen, South Carolina passed the ""Negro Act,"" stopping enslaved people from learning to read, write, and to assemble freely. Additionally, The Negro Law of South Carolina, passed by Congress on May 10, 1740, prohibited enslaved people from growing food. The culmination of these restrictions resulted in the inability of black people to live independently. The law inspired similar laws in Georgia and was perpetuated by Jim Crow Laws which ensured the continuation of black oppression for many centuries. The Negro Law of South Carolina, A. (S.C. May 10, 1740). https://www.loc.gov/resource/gdcmassbookdig.negrolawofsouthc00onea/?sp=9&r=0.266, 0.201,1.044,0.523,0. Rasmussen, Birgit Brander. PMLA. Vol. 125. https://www.jstor.org/stable/25614450?seq=1#metadata_info_tab_contents. "
1758,,USA,"Pennsylvania Abolition Society forms, the first American abolition society",USA,"According to Leon Litwack and Norman Wilkinson’s “Papers of the Pennsylvania Society for Promoting the Abolition of Slavery,” the first American abolition society was formed in Pennsylvania in 1751. Given that the calls for independence were becoming more frequent at that time, the presence of an abolition society highlights that the idea of abolition was just as important (though not necessarily as well supported) as that of independence. According to Edward Turner’s “The First Abolition Society in the United States,” the society was disbanded very shortly after its formation, implying that the narrative shifted towards revolutionary fervor and less on the injustices faced by enslaved Americans. “Founding of Pennsylvania Abolition Society”. Africans in America. PBS. Accessed December 1, 2022. https://www.pbs.org/wgbh/aia/part3/3p249.html. Nielsen, E. “The Founding of the Pennsylvania Abolition Society (1775).” Blackpast. Last modified January 25, 2022. Accessed December 1, 2022. https://www.blackpast.org/african-american-history/institutions-african-american-history/ the-founding-of-the-pennsylvania-abolition-society-1775/. Pennsylvania Society for Promoting the Abolition of Slavery and for the Relief of Free Negroes Unlawfully Held in Bondage. “The Constitution of the Pennsylvania Society, for Promoting the Abolition of Slavery, and the Relief of Free Negroes, Unlawfully Held in Bondage.” 1787. Accessed December 1, 2022. https://hsp.org/sites/default/files/attachments/abolition_dbq_0.pdf. Turner, Edward Raymond. “The First Abolition Society in the United States.” The Pennsylvania Magazine of History and Biography 36, no. 1 (1912): 92–109. http://www.jstor.org/stable/20085581. Wilkinson, Norman B. “Papers of the Pennsylvania Society for Promoting the Abolition of Slavery.” The Pennsylvania Magazine of History."
1774,,CT,"Half of Connecticut's doctors, lawyers, and professional people own enslaved people",CT,"According to research done by Jackson Turner Main of Princeton University, more than half of Connecticut’s elite owned slaves around 1774, one of which was Nancy Toney who was enslaved by Dr. Hezekiah Chaffee, Jr. Further research from Yale University confirmed that slaves of these doctors and lawyers lived in urban settings and worked as servants, doing various chores around the household, differing from slaves in the south who often worked on plantations. It is not surprising that over 50% of Connecticut’s professionals owned slaves as Stanley-Whitman House Slavery Research states that in 1774, Connecticut had the largest number of Black slaves in New England, adding up to a total of 6,464. ""Chaffee House Reopens with New Exhibit and Inclusive Reinterpretation."" Windsor Historical Site. Accessed December 1, 2022. https://windsorhistoricalsociety.org/chaffee-house-reopens/#easy-footnote-1-8748. ""History of Farmington."" Stanley-Whitman House Slavery Research. Accessed December 1, 2022. http://captivepeople.stanleywhitman.org/?page_id=12. Yale. ""Enslaved Africans in the Colony of Connecticut."" Yale MacMillian Center. Accessed December 1, 2022."
1774,,CT,Connecticut bans the importation of slaves,CT,"According to archived census data published in Charles Hoadly’s The Public Records of the Colony of Connecticut, there were 6,464 enslaved people in Connecticut in 1774. This number comes from a report made by the Governor of Connecticut to the British Secretary of State in October 1774. According to Lorenzo Greene’s The Negro in Colonial New England, 1620-1776, Connecticut had “more Negroes than any other New England colony” at the time — making up around 3.2% of the total population (197,856 people). Greene, Lorenzo Johnston. The Negro in Colonial New England 1620-1776. Vol. 494. New York, United States of America: Columbia University Press, New York, 1942. https://babel.hathitrust.org/cgi/pt?id=mdp.49015000060286&view=1up&seq=8&q1=6,464
Hoadly, Charles J. The Public Records of the Colony of Connecticut ... Vol.14 (Oct.1772-Apr.1775). Vol. 14. Hartford, United States of America: Press of the Case, Lockwood and Brainard Company, 1887. https://babel.hathitrust.org/cgi/pt?id=njp.32101067880276&view=1up&seq=7&q1=6,464"
1775,,USA,Total enslaved population of colonies is nearly half a million,USA,"In 1774, according to Connecticut state records, the importation of enslaved people was banned in Connecticut. The Hartford Courant states that during the time, enslaved people made up 5,201 (2.6%) of the population total, 197,910. After the ban, the US Census and the state of Connecticut report that in 1800, Connecticut had a total population of 251,062, and an enslaved population of 951 people (0.4%), meaning that the enslaved population decreased by 84.6% over 16 years. A. , at 329 (Conn. 1774). https://archive.org/details/publicrecordsofc014conn/page/329/mode/1up. Hartford Courant. ""Connecticut Slave Population by County and Town in 1774."" September 29, 2002. Accessed December 1, 2022. https://www.courant.com/news/connecticut/hc-xpm-2002-09-29-0210103159-story.html.""Population of Connecticut Towns 1756-1820."" Connecticut's Official State Website. Accessed December 1, 2022. https://portal.ct.gov/SOTS/Register-Manual/Section-VII/Population-1756-1820.  "
1775,,SC,"South Carolina: 93,000 enslaved people imported between 1706-1775",SC,"According to data composed by the Colonial Williamsburg Foundation and organized in the Slavery and Remembrance database, the enslaved population in the colonies had grown to nearly half a million by 1775. As stated by historian John Hammond in his book “Slavery, Sovereignty, and Empires: North American Borderland and the American Civil War, 1660-1860,” some colonies reported up to a 2500% increase in their enslaved populations between the years of 1750 and 1775. Subsequently, information provided by the Colonial Williamsburg Foundation states that over 95% of British North America’s enslaved population in 1775 lived in the southern colonies; indeed, those colonies recorded the greatest increases. ""Slavery in the Age of Revolutions: American Revolution."" In Slavery and Remembrance: a guide to sites, museums and, memory. https://slaveryandremembrance.org/articles/article/?id=A0064 Hammond, John. “Slavery, Sovereignty, and Empires: North American Borderlands and the American Civil War, 1660–1860.” Journal of the Civil War Era 4, no. 2 (2014): 264–98. http://www.jstor.org/stable/26062152"
